,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",309.0,39.0,21.53,0.72,8.19,0.0,8.56,7.0,4.0,2443.0,1396.0,18.0,782.0,0.0,247.0
1,ABI,"Abilene, TX: Abilene Regional",194.0,12.0,3.8,0.06,3.72,0.0,4.41,7.0,0.0,1578.0,236.0,2.0,1074.0,0.0,266.0
2,ABQ,"Albuquerque, NM: Albuquerque International Sunport",993.0,114.0,58.9,5.07,16.25,1.0,32.79,27.0,1.0,7166.0,3977.0,1043.0,585.0,23.0,1538.0
3,ABR,"Aberdeen, SD: Aberdeen Regional",62.0,7.0,6.0,1.0,0.0,0.0,0.0,2.0,2.0,602.0,494.0,108.0,0.0,0.0,0.0
4,ABY,"Albany, GA: Southwest Georgia Regional",90.0,1.0,0.96,0.0,0.04,0.0,0.0,0.0,0.0,23.0,22.0,0.0,1.0,0.0,0.0
5,ACK,"Nantucket, MA: Nantucket Memorial",12.0,4.0,2.12,0.0,0.0,0.0,1.88,1.0,0.0,222.0,147.0,0.0,0.0,0.0,75.0
6,ACT,"Waco, TX: Waco Regional",91.0,8.0,3.2,0.27,2.1,0.0,2.44,1.0,0.0,521.0,229.0,16.0,75.0,0.0,201.0
7,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",67.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,134.0,0.0,0.0,0.0,0.0
8,ACY,"Atlantic City, NJ: Atlantic City International",169.0,9.0,1.06,0.89,2.86,0.0,4.2,5.0,3.0,1053.0,53.0,31.0,426.0,0.0,543.0
9,ADK,"Adak Island, AK: Adak",9.0,8.0,0.25,0.69,4.08,0.0,2.97,1.0,0.0,399.0,16.0,47.0,161.0,0.0,175.0
10,ADQ,"Kodiak, AK: Kodiak Airport",43.0,5.0,3.99,0.0,1.01,0.0,0.0,3.0,0.0,182.0,125.0,0.0,57.0,0.0,0.0
11,AEX,"Alexandria, LA: Alexandria International",244.0,28.0,14.64,0.0,11.27,0.0,2.09,1.0,2.0,1359.0,809.0,0.0,485.0,0.0,65.0
12,AGS,"Augusta, GA: Augusta Regional at Bush Field",295.0,27.0,11.07,1.18,9.0,0.0,5.7299999999999995,1.0,0.0,1244.0,440.0,105.0,298.0,0.0,401.0
13,ALB,"Albany, NY: Albany International",458.0,61.0,29.55,3.62,18.07,0.0,9.75,16.0,0.0,4290.0,2024.0,970.0,739.0,0.0,557.0
14,ALO,"Waterloo, IA: Waterloo Regional",28.0,2.0,0.53,0.0,1.47,0.0,0.0,0.0,0.0,92.0,35.0,0.0,57.0,0.0,0.0
15,ALS,"Alamosa, CO: San Luis Valley Regional/Bergman Field",53.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,295.0,63.0,232.0,0.0,0.0,0.0
16,AMA,"Amarillo, TX: Rick Husband Amarillo International",269.0,35.0,12.149999999999999,1.4300000000000002,13.280000000000001,0.0,8.14,4.0,1.0,1788.0,651.0,63.0,651.0,0.0,423.0
17,ANC,"Anchorage, AK: Ted Stevens Anchorage International",908.0,144.0,31.770000000000003,4.4,52.14,17.31,38.39,18.0,0.0,6165.0,1454.0,356.0,1714.0,553.0,2088.0
18,APN,"Alpena, MI: Alpena County Regional",53.0,9.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,703.0,492.0,211.0,0.0,0.0,0.0
19,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",599.0,165.0,65.0,12.0,43.0,0.0,45.0,24.0,25.0,17283.0,3717.0,2572.0,5160.0,0.0,5834.0
20,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",23124.0,2237.0,769.3599999999999,38.300000000000004,977.19,11.7,440.46999999999997,107.0,6.0,128302.0,66448.0,3971.0,32048.0,521.0,25314.0
21,ATW,"Appleton, WI: Appleton International",333.0,38.0,21.09,2.45,12.52,0.0,1.94,4.0,0.0,1553.0,1091.0,65.0,275.0,0.0,122.0
22,ATY,"Watertown, SD: Watertown Regional",53.0,6.0,4.0,2.0,0.0,0.0,0.0,3.0,1.0,531.0,257.0,274.0,0.0,0.0,0.0
23,AUS,"Austin, TX: Austin - Bergstrom International",2672.0,411.0,173.94,10.18,157.26,0.85,68.78,11.0,8.0,19413.0,9322.0,922.0,5454.0,28.0,3687.0
24,AVL,"Asheville, NC: Asheville Regional",478.0,73.0,28.58,4.75,19.98,0.0,19.68,3.0,2.0,4531.0,2003.0,439.0,890.0,0.0,1199.0
25,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",111.0,12.0,4.44,0.86,5.48,0.0,1.23,3.0,0.0,408.0,189.0,42.0,142.0,0.0,35.0
26,AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",447.0,76.0,18.48,8.19,20.59,0.92,27.82,5.0,0.0,6902.0,2295.0,875.0,1044.0,63.0,2625.0
27,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",121.0,18.0,10.24,0.96,6.8,0.0,0.0,1.0,1.0,2201.0,1359.0,619.0,223.0,0.0,0.0
28,BDL,"Hartford, CT: Bradley International",1115.0,184.0,74.17999999999999,4.1,73.25,0.62,31.87,18.0,2.0,9703.0,3760.0,817.0,3029.0,32.0,2065.0
29,BET,"Bethel, AK: Bethel Airport",47.0,5.0,1.9,0.0,1.13,0.0,1.97,0.0,0.0,168.0,63.0,0.0,21.0,0.0,84.0
30,BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",53.0,9.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,1274.0,1069.0,0.0,0.0,0.0,205.0
31,BFL,"Bakersfield, CA: Meadows Field",177.0,27.0,6.82,3.1,6.46,0.0,10.620000000000001,1.0,0.0,1882.0,940.0,156.0,151.0,0.0,635.0
32,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",31.0,10.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,735.0,419.0,269.0,47.0,0.0,0.0
33,BGR,"Bangor, ME: Bangor International",134.0,11.0,3.98,4.0,1.06,0.09,1.88,1.0,0.0,312.0,89.0,121.0,25.0,2.0,75.0
34,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",902.0,125.0,58.44,2.41,31.37,0.65,32.14,5.0,2.0,5525.0,2778.0,106.0,1121.0,36.0,1484.0
35,BIL,"Billings, MT: Billings Logan International",365.0,54.0,31.08,2.0,4.99,0.0,15.93,2.0,3.0,4010.0,2793.0,65.0,286.0,0.0,866.0
36,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",340.0,43.0,20.07,4.0,6.75,0.0,12.17,5.0,0.0,2436.0,1193.0,273.0,216.0,0.0,754.0
37,BJI,"Bemidji, MN: Bemidji Regional",62.0,16.0,12.0,4.0,0.0,0.0,0.0,2.0,0.0,1817.0,689.0,1128.0,0.0,0.0,0.0
38,BLI,"Bellingham, WA: Bellingham International",49.0,4.0,1.0,0.0,1.06,0.0,1.94,4.0,0.0,367.0,84.0,0.0,32.0,0.0,251.0
39,BLV,"Belleville, IL: Scott AFB/MidAmerica",72.0,7.0,3.45,0.0,3.19,0.0,0.36,0.0,0.0,175.0,84.0,0.0,85.0,0.0,6.0
40,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",170.0,21.0,13.98,1.07,3.59,0.0,2.37,0.0,0.0,1695.0,1425.0,27.0,167.0,0.0,76.0
41,BNA,"Nashville, TN: Nashville International",4438.0,490.0,193.03,12.85,153.25,0.0,130.86,36.0,4.0,22660.0,9159.0,945.0,5588.0,0.0,6968.0
42,BOI,"Boise, ID: Boise Air Terminal",1410.0,158.0,79.58,13.39,24.9,1.0,39.14,17.0,7.0,9751.0,3809.0,1502.0,1392.0,95.0,2953.0
43,BOS,"Boston, MA: Logan International",4744.0,706.0,228.72,26.830000000000002,292.72,3.28,154.46,132.0,8.0,43836.0,13320.0,4892.0,12042.0,190.0,13392.0
44,BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",77.0,11.0,3.54,1.0,3.64,0.0,2.83,0.0,0.0,401.0,120.0,40.0,146.0,0.0,95.0
45,BQK,"Brunswick, GA: Brunswick Golden Isles",90.0,6.0,3.8,0.0,1.63,0.0,0.57,0.0,0.0,374.0,249.0,0.0,88.0,0.0,37.0
46,BRD,"Brainerd, MN: Brainerd Lakes Regional",53.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1776.0,1776.0,0.0,0.0,0.0,0.0
47,BRO,"Brownsville, TX: Brownsville South Padre Island International",142.0,19.0,9.1,0.94,4.87,0.0,4.08,0.0,0.0,872.0,383.0,24.0,342.0,0.0,123.0
